"State/UT","Shops - Numbers - 2008","Shops - Numbers - 2009","Shops - Numbers - 2010","Shops - Numbers - 2011","Shops - Workers - 2008","Shops - Workers - 2009","Shops - Workers - 2010","Shops - Workers - 2011","Commercial establishment - Numbers - 2008","Commercial establishment - Numbers - 2009","Commercial establishment - Numbers - 2010","Commercial establishment - Numbers - 2011","Commercial establishment - Workers - 2008","Commercial establishment - Workers - 2009","Commercial establishment - Workers - 2010","Commercial establishment - Workers - 2011","Restaurants, theaters etc. - Numbers - 2008","Restaurants, theaters etc. - Numbers - 2009","Restaurants, theaters etc. - Numbers - 2010","Restaurants, theaters etc. - Numbers - 2011","Restaurants, theaters etc. - Workers - 2008","Restaurants, theaters etc. - Workers - 2009","Restaurants, theaters etc. - Workers - 2010","Restaurants, theaters etc. - Workers - 2011","All establishments - Numbers - 2008","All establishments - Numbers - 2009","All establishments - Numbers - 2010","All establishments - Numbers - 2011","All establishments - Workers - 2008","All establishments - Workers - 2009","All establishments - Workers - 2010","All establishments - Workers - 2011"
"Andhra Pradesh","378","312","145","154","397","352","406","457","35","31","36","30","373","262","317","314","19","17","14","12","95","96","95","109","432","360","195","196","865","710","818","880"
"Assam","61","57","61","56","55","53","57","57","10","10","10","11","29","30","32","33","5","4","4","4","14","13","14","14","76","71","75","71","98","96","102","104"
"Bihar","169","173","177","181","193","195","198","200","72","72","72","72","646","647","648","648","8","8","8","8","94","95","95","95","248","253","257","262","933","938","941","943"
"Chhattisgarh","$","87","112","64","$","103","106","29","$","9","23","11","$","19","25","22","$","4","5","5","$","6","7","8","$","100","141","79","$","128","138","59"
"Goa","$","1","1","1","$","1","1","1","$","1","1","1","$","4","4","3","$","@","@","@","$","2","1","2","$","2","2","2","$","7","6","6"
"Gujarat","801","$","$","827","681","$","$","1212","254","$","$","291","470","$","5","453","24","$","$","32","96","$","$","90","1079","$","$","1150","1247","$","$","1755"
"Haryana","$","203","209","212","$","162","253","261","$","11","15","18","$","158","140","142","$","5","4","4","$","14","13","16","$","220","228","234","$","334","407","419"
"Himachal Pradesh","47","47","50","52","13","14","15","16","6","6","7","7","11","12","13","13","8","8","9","9","11","12","14","13","60","61","65","68","35","38","41","42"
"Jammu & Kashmir","168","176","187","191","22","25","27","30","11","12","14","14","29","32","33","36","13","13","14","15","15","16","19","18","192","201","215","220","66","72","79","84"
"Jharkhand","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Karnataka","194","$","207","223","263","$","395","454","102","$","120","112","777","$","911","887","15","$","15","15","102","$","109","111","311","$","342","350","1142","$","1415","1453"
"Kerala","225","235","243","275","255","265","269","288","36","37","36","44","105","118","125","141","18","20","19","20","59","67","62","71","279","292","299","338","419","450","457","500"
"Madhya Pradesh","$","$","$","198","$","$","$","49","$","$","$","110","$","$","$","56","$","$","$","24","$","$","$","15","$","$","$","332","$","$","$","120"
"Maharashtra","330","$","1531","2299","764","$","905","1008","360","$","456","502","1994","$","2545","2780","67","$","75","79","312","$","355","378","757","$","2063","2880","3070","$","3805","4167"
"Manipur","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Meghalaya","6","7","7","8","21","24","26","28","@","@","@","@","2","2","2","2","@","1","1","1","4","4","5","5","6","7","9","9","27","31","33","35"
"Orissa","$","14","$","15","$","41","$","42","$","13","$","15","$","51","$","57","$","5","$","5","$","18","$","19","$","31","$","34","$","110","$","118"
"Punjab","214","213","216","217","99","98","104","108","34","27","34","34","91","81","93","92","6","8","7","7","15","16","16","16","254","248","257","258","205","195","213","216"
"Rajasthan","522","515","392","421","188","204","130","183","39","39","67","31","134","135","232","142","31","20","14","36","67","71","34","72","592","575","474","487","389","409","395","397"
"Tamil Nadu","167","287","$","315","236","242","$","248","13","15","$","22","88","83","$","94","1","17","$","4","7","50","$","31","181","320","$","341","331","375","$","373"
"Tripura","$","41","42","44","$","21","23","16","$","1","3","1","$","3","4","2","$","1","1","1","$","3","3","2","$","43","46","45","$","27","30","20"
"Uttar Pradesh","$","$","335","367","$","$","937","1107","$","$","201","225","$","$","562","668","$","$","134","147","$","$","375","443","$","$","669","739","$","$","1873","2218"
"Uttarakhand","$","54","$","63","$","11","$","15","$","3","$","3","$","9","$","11","$","4","$","5","$","20","$","23","$","60","$","70","$","40","$","49"
"West Bengal","561","$","575","582","427","$","439","457","87","$","92","95","217","$","266","287","42","$","42","42","103","$","105","106","690","$","709","719","747","$","810","850"
"A. & N. Islands","1","$","$","1","3","$","$","3","@","$","$","@","@","$","$","1","@","$","$","@","@","$","$","@","@","$","$","1","3","$","$","4"
"Chandigarh","$","15","15","15","$","18","19","20","$","5","5","5","$","26","27","29","$","2","2","2","$","7","7","7","$","22","22","23","$","52","54","57"
"Delhi","$","$","19","24","$","$","52","83","$","$","9","14","$","$","295","165","$","$","1","1","$","$","17","54","$","$","28","39","$","$","364","302"
"Daman & Diu","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
